Title,Link,Sentiment
'Sense of worry among exporters': Govt rolls out Rs 497-cr relief as Hormuz curb disrupts shipments to Gulf,https://www.businesstoday.in/latest/economy/story/sense-of-worry-among-exporters-govt-rolls-out-rs-497-cr-relief-as-hormuz-curb-disrupts-shipments-to-gulf-521385-2026-03-19,Neutral
US Federal Reserve keeps benchmark interest rates unchanged,https://www.businesstoday.in/latest/economy/story/us-federal-reserve-keeps-benchmark-interest-rates-unchanged-521302-2026-03-19,Neutral
Hormuz disruption hits fertiliser trade: Could India's Kharif season be affected?,https://www.businesstoday.in/latest/economy/story/hormuz-disruption-hits-fertiliser-trade-could-indias-kharif-season-be-affected-521271-2026-03-18,Neutral
UK confers honorary knighthood on Tata's N Chandrasekaran for strengthening business ties,https://www.businesstoday.in/latest/economy/story/tata-group-chairman-n-chandrasekaran-knighted-by-uk-for-strengthening-india-uk-business-relations-521275-2026-03-18,Neutral
Unpaid Tolls To Cost Double as govt brings in e-notice system,https://www.businesstoday.in/latest/economy/story/unpaid-tolls-to-cost-double-as-govt-brings-in-e-notice-system-521267-2026-03-18,Positive
Hormuz bottleneck: 2.2 million tonnes of Indian energy assets stranded in the strait,https://www.businesstoday.in/latest/economy/story/hormuz-bottleneck-22-million-tonnes-of-indian-energy-assets-stranded-in-the-strait-521262-2026-03-18,Neutral
West Asia War: Here are the sectors Alchemy Capital’s Alok Agarwal is looking at in the Indian market,https://www.businesstoday.in/latest/economy/story/west-asia-war-here-are-the-sectors-alchemy-capitals-alok-agarwal-is-looking-at-in-the-indian-market-521244-2026-03-18,Neutral
"Price adjustment under GST 2.0 varied across commodities, says new report",https://www.businesstoday.in/latest/economy/story/price-adjustment-under-gst-20-varied-across-commodities-says-new-report-521240-2026-03-18,Positive
A decade-old idea returns: Arvind Panagariya backs electric cooking as LPG tightens,https://www.businesstoday.in/latest/economy/story/a-decade-old-idea-returns-arvind-panagariya-backs-electric-cooking-as-lpg-tightens-521055-2026-03-17,Neutral
Beyond blueprints: Building the architecture of India's sustainable future,https://www.businesstoday.in/latest/economy/story/beyond-blueprints-building-the-architecture-of-indias-sustainable-future-521044-2026-03-17,Neutral
BT EXPLAINER: Why Indian basket crude oil at $143 a barrel is more expensive than Brent and WTI,https://www.businesstoday.in/latest/economy/story/bt-explainer-why-indian-basket-crude-oil-at-143-a-barrel-is-more-expensive-than-brent-and-wti-521040-2026-03-17,Negative
"Crude oil at $130 for two to three quarters would lower growth by 100 bps, push up inflation",https://www.businesstoday.in/latest/economy/story/crude-oil-at-130-for-two-to-three-quarters-would-lower-growth-by-100-bps-push-up-inflation-521017-2026-03-17,Negative
IDBI sale setback leaves over half of FY26 disinvestment receipts unmet,https://www.businesstoday.in/latest/economy/story/idbi-sale-setback-leaves-over-half-of-fy26-disinvestment-receipts-unmet-520963-2026-03-17,Negative
Centre drafts National Water Metro Policy to expand urban water transport,https://www.businesstoday.in/latest/economy/story/centre-drafts-national-water-metro-policy-to-expand-urban-water-transport-520893-2026-03-17,Neutral
"'Release tankers, send medicines': Iran's conditions to India for safe passage through Hormuz",https://www.businesstoday.in/latest/economy/story/release-tankers-send-medicines-irans-conditions-to-india-for-safe-passage-through-hormuz-520838-2026-03-16,Positive
"First tanker through Hormuz: LPG vessel Shivalik reaches Mundra, Nanda Devi next",https://www.businesstoday.in/latest/economy/story/first-tanker-through-hormuz-lpg-vessel-shivalik-reaches-mundra-nanda-devi-next-520825-2026-03-16,Positive
West Asia war: India may announce relief package to support exporters affected by conflict,https://www.businesstoday.in/latest/economy/story/west-asia-war-india-may-announce-relief-package-to-support-exporters-affected-by-conflict-520808-2026-03-16,Neutral
US to finalise new tariff architecture before India signs trade deal,https://www.businesstoday.in/latest/economy/story/us-to-finalise-new-tariff-architecture-before-india-signs-trade-deal-520780-2026-03-16,Positive
"Hormuz tensions: Indian tanker carrying 81,000 tonnes of crude to reach Mundra tomorrow",https://www.businesstoday.in/latest/economy/story/hormuz-tensions-indian-tanker-carrying-81000-tonnes-of-crude-to-reach-mundra-tomorrow-520776-2026-03-16,Negative
India-US trade deal will be signed only after new tariff structure is in place: Govt,https://www.businesstoday.in/latest/economy/story/india-us-trade-deal-will-be-signed-only-after-new-tariff-structure-is-in-place-govt-520764-2026-03-16,Positive
‘There will be a certain economic shortfall…’: Piyush Goyal on how the Iran war is likely to impact India,https://www.businesstoday.in/latest/economy/story/there-will-be-a-certain-economic-shortfall-piyush-goyal-on-how-the-iran-war-is-likely-to-impact-india-520635-2026-03-15,Positive
India engages Iran to secure energy flows as Hormuz tensions escalate,https://www.businesstoday.in/latest/economy/story/india-engages-iran-to-secure-energy-flows-as-hormuz-tensions-escalate-520618-2026-03-14,Positive
West Asia conflict & gas market disruptions: What is DME and how can it replace LPG?,https://www.businesstoday.in/latest/economy/story/west-asia-conflict-gas-market-disruptions-what-is-dme-and-how-can-it-replace-lpg-520610-2026-03-14,Neutral
Crude oil prices surge over 40% in a fortnight as West Asia conflict enters third week,https://www.businesstoday.in/latest/economy/story/crude-oil-prices-surge-over-40-in-a-fortnight-as-west-asia-conflict-enters-third-week-520604-2026-03-14,Negative
"West Asia conflict: Record India outflows, GEM flows negative as markets enter ‘no-buyer phase’, says report",https://www.businesstoday.in/latest/economy/story/west-asia-conflict-record-india-outflows-gem-flows-negative-as-markets-enter-no-buyer-phase-says-report-520579-2026-03-13,Negative
West Asia conflict: Why egg prices in India are dropping fast right now? What we know,https://www.businesstoday.in/latest/economy/story/west-asia-conflict-why-egg-prices-in-india-are-dropping-fast-right-now-what-we-know-520559-2026-03-13,Positive
"Oil prices may move sharply if Strait of Hormuz disruption continues, says Essar CEO Prashant Ruia",https://www.businesstoday.in/latest/economy/story/oil-prices-may-move-sharply-if-strait-of-hormuz-disruption-continues-says-essar-ceo-prashant-ruia-520557-2026-03-13,Negative
Lok Sabha grants approval for additional Rs 2.01 lakh crore spending for FY 2025-26,https://www.businesstoday.in/latest/economy/story/ok-sabha-grants-approval-for-additional-rs-201-lakh-crore-spending-for-fy-2025-26-520551-2026-03-13,Neutral
India delays US trade deal amid Trump administration's new manufacturing sector probe: Report,https://www.businesstoday.in/latest/economy/story/india-delays-us-trade-deal-amid-trump-administrations-new-manufacturing-sector-probe-report-520513-2026-03-13,Positive
Iran crisis may hit India via LNG shortage more than oil; industries face early signs of gas supply stress: Report,https://www.businesstoday.in/latest/economy/story/iran-crisis-may-hit-india-via-lng-shortage-more-than-oil-industries-face-early-signs-of-gas-supply-stress-report-520509-2026-03-13,Positive
India should go aggressive in ramping petroleum reserve capacity: SM Vaidya,https://www.businesstoday.in/latest/economy/story/india-should-go-aggressive-in-ramping-petroleum-reserve-capacity-sm-vaidya-520489-2026-03-13,Neutral
"Oil shock, China’s ‘slow bull market’, and a possible US ‘Suez moment’: Jefferies flags shifting global market risks",https://www.businesstoday.in/latest/economy/story/oil-shock-chinas-slow-bull-market-and-a-possible-us-suez-moment-jefferies-flags-shifting-global-market-risks-520451-2026-03-13,Negative
West Asia War: Here’s why RBI may keep benchmark interest rate on hold in April MPC meet,https://www.businesstoday.in/latest/economy/story/west-asia-war-heres-why-rbi-may-keep-benchmark-interest-rate-on-hold-in-april-mpc-meet-520444-2026-03-13,Neutral
Modi-Trump remained friends even when the President wasn’t in power: Sergio Gor on how the India-US trade deal took off,https://www.businesstoday.in/india/story/modi-trump-remained-friends-even-when-the-president-wasnt-in-power-sergio-gor-on-how-the-india-us-trade-deal-took-off-520442-2026-03-13,Neutral
India in discussions with Iran for safe passage of 20 oil tankers through Hormuz: Report,https://www.businesstoday.in/latest/economy/story/india-in-discussions-with-iran-for-safe-passage-of-20-oil-tankers-through-hormuz-report-520375-2026-03-12,Positive
Mukesh Ambani's refinery deal rekindles momentum in India-US ties,https://www.businesstoday.in/latest/economy/story/mukesh-ambanis-refinery-deal-rekindles-momentum-in-india-us-ties-520355-2026-03-12,Neutral
US 'unfair trade' probe raises concerns over future trade and tariff policies,https://www.businesstoday.in/latest/economy/story/us-unfair-trade-probe-raises-concerns-over-future-trade-and-tariff-policies-520346-2026-03-12,Negative
Who drives India's natural gas demand?,https://www.businesstoday.in/latest/economy/story/who-drives-indias-natural-gas-demand-520301-2026-03-12,Positive
BT EXPLAINED: How the West Asia war has threatened India's energy security,https://www.businesstoday.in/latest/economy/story/bt-explained-how-the-west-asia-war-has-threatened-indias-energy-security-520296-2026-03-12,Neutral
"LPG shortage affects banquet halls, catering services during wedding season",https://www.businesstoday.in/india/story/lpg-shortage-affects-banquet-halls-catering-services-during-wedding-season-520270-2026-03-12,Neutral
Ujjwala Scheme: How the flagship schemed fueled LPG demand,https://www.businesstoday.in/latest/economy/story/ujjwala-scheme-how-the-flagship-schemed-fueled-lpg-demand-520263-2026-03-12,Neutral
"Is there a LPG shortage in your state? Here’s what Delhi, Gujarat, Andhra, Haryana, others say",https://www.businesstoday.in/india/story/is-there-a-lpg-shortage-in-your-state-heres-what-delhi-gujarat-andhra-haryana-others-say-520250-2026-03-12,Neutral
India diversifies crude supply routes: 75% now coming from outside Strait of Hormuz,https://www.businesstoday.in/latest/economy/story/india-diversifies-crude-supply-routes-75-now-coming-from-outside-strait-of-hormuz-520157-2026-03-11,Negative
"Crude supply secure, LPG imports under watch: Centre says 2 LNG cargoes on way",https://www.businesstoday.in/latest/economy/story/crude-supply-secure-lpg-imports-under-watch-centre-says-2-lng-cargoes-on-way-520153-2026-03-11,Negative
"PN3 regime easing to help encourage investments, build domestic capabilities: DPIIT Secy",https://www.businesstoday.in/latest/economy/story/pn3-regime-easing-to-help-encourage-investments-build-domestic-capabilities-dpiit-secy-520138-2026-03-11,Neutral
"Petrol, diesel prices: Will there be any fuel price hike after LPG rate surge amid West Asia tensions?",https://www.businesstoday.in/latest/economy/story/petrol-diesel-prices-will-there-be-any-fuel-price-hike-after-lpg-rate-surge-amid-west-asia-tensions-520137-2026-03-11,Neutral
Commercial LPG shortage brings back 2013 petrol pump closure proposal amid West Asia crisis; what lies ahead,https://www.businesstoday.in/latest/economy/story/commercial-lpg-shortage-brings-back-2013-petrol-pump-closure-proposal-amid-west-asia-crisis-heres-what-expert-says-520100-2026-03-11,Neutral
"Cesses and surcharges continue to grow, estimated at Rs 6.3 lakh crore in FY27",https://www.businesstoday.in/latest/economy/story/cesses-and-surcharges-continue-to-grow-estimated-at-rs-63-lakh-crore-in-fy27-520089-2026-03-11,Neutral
Will West Asia conflict delay interest rate cuts by central banks? Here’s what’s happening,https://www.businesstoday.in/latest/economy/story/will-west-asia-conflict-delay-interest-rate-cuts-by-central-banks-heres-whats-happening-520078-2026-03-11,Neutral
'Great partner in stabilising oil prices': Sergio Gor on India buying Russian oil amid Hormuz blockade,https://www.businesstoday.in/latest/economy/story/great-partner-in-stabilising-oil-prices-sergio-gor-on-india-buying-russian-oil-amid-hormuz-blockade-520071-2026-03-11,Positive
"FDI policy changed: 60-day clearance for border country investments in electronics, capital goods",https://www.businesstoday.in/latest/economy/story/fdi-policy-changed-60-day-clearance-for-border-country-investments-in-electronics-capital-goods-519992-2026-03-10,Neutral
"'India has enough resources, we need freedom to produce': Vedanta's Anil Agarwal as Iran war rattles energy supplies",https://www.businesstoday.in/latest/economy/story/india-has-enough-resources-we-need-freedom-to-produce-vedantas-anil-agarwal-as-iran-war-rattles-energy-supplies-519963-2026-03-10,Neutral
Hormuz blockade: Maersk suspends cargo bookings to and from key Gulf countries,https://www.businesstoday.in/latest/economy/story/hormuz-blockade-maersk-suspends-cargo-bookings-to-and-from-key-gulf-countries-519944-2026-03-10,Neutral
Centre tables second supplementary demand for grant for FY26 with net cash outgo of Rs 2.01 lakh crore,https://www.businesstoday.in/latest/economy/story/centre-tables-second-supplementary-demand-for-grant-for-fy26-with-net-cash-outgo-of-rs-201-lakh-crore-519935-2026-03-10,Neutral
"Iran-Israel conflict puts India’s LNG imports, exports at risk; govt to explore Norway & US if Crisis persists: Sources",https://www.businesstoday.in/latest/economy/story/iran-israel-us-conflict-puts-indias-lng-imports-exports-at-risk-govt-to-explore-norway-us-if-crisis-persists-sources-519931-2026-03-10,Neutral
India relaxes FDI norms for China and neighbouring countries amid expanding trade,https://www.businesstoday.in/latest/economy/story/india-relaxes-fdi-norms-for-china-and-neighbouring-countries-amid-expanding-trade-519916-2026-03-10,Neutral
Odisha govt urged to expedite strategic oil reserve project sanctioned 7 yrs ago amid Iran war: Report,https://www.businesstoday.in/latest/economy/story/odisha-govt-urged-to-expedite-strategic-oil-reserve-project-sanctioned-7-yrs-ago-amid-iran-war-report-519919-2026-03-10,Neutral
Crude oil price hike sparks double whammy for tyre companies,https://www.businesstoday.in/latest/economy/story/crude-oil-price-hike-sparks-double-whammy-for-tyre-companies-519917-2026-03-10,Negative
West Asia crisis: CBIC waives fee for cancellation or amendment of export documents,https://www.businesstoday.in/latest/economy/story/west-asia-crisis-cbic-waives-fee-for-cancellation-or-amendment-of-export-documents-519913-2026-03-10,Neutral
'Households doubly exposed': Economist Shamika Ravi flags India's dual petroleum dependency amid Hormuz closure,https://www.businesstoday.in/latest/economy/story/households-doubly-exposed-economist-shamika-ravi-flags-indias-dual-petroleum-dependency-amid-hormuz-closure-519912-2026-03-10,Neutral
"LPG production to be enhanced; domestic, essential non-domestic sectors to be prioritised: IOCL, HPCL, BPCL",https://www.businesstoday.in/latest/economy/story/lpg-production-to-be-enhanced-domestic-essential-non-domestic-sectors-to-be-prioritised-iocl-hpcl-bpcl-519904-2026-03-10,Neutral
"Hormuz disruptions: Govt sets priority gas allocations; full supply for homes and transport, cuts for industry",https://www.businesstoday.in/latest/economy/story/hormuz-disruptions-govt-notifies-four-priority-gas-sectors-provisions-override-existing-gas-sale-agreements-519883-2026-03-10,Positive
India's agricultural exports to hit $55 bn by 2025; Piyush Goyal says no concessions on sugar imports,https://www.businesstoday.in/latest/economy/story/indias-agricultural-exports-to-hit-55-bn-by-2025-piyush-goyal-says-no-concessions-on-sugar-imports-519874-2026-03-10,Neutral
India needs to diversify LPG sources: Ex-BPCL CMD amid energy constraints,https://www.businesstoday.in/latest/economy/story/india-needs-to-diversify-lpg-sources-ex-bpcl-cmd-amid-energy-constraints-519850-2026-03-10,Neutral
"'India is vulnerable to energy shock': $50 crude jump means $90 billion hit, warns economist Neelkanth Mishra",https://www.businesstoday.in/latest/economy/story/india-is-vulnerable-to-energy-shock-50-crude-jump-means-90-billion-hit-warns-economist-neelkanth-mishra-519779-2026-03-09,Negative
"No immediate petrol, diesel price hike despite sharp crude rally: Govt sources",https://www.businesstoday.in/latest/economy/story/no-immediate-petrol-diesel-price-hike-despite-sharp-crude-rally-govt-sources-519764-2026-03-09,Negative
Hormuz closure chokes oil flows: Saudi giant Aramco begins cutting output at two oilfields,https://www.businesstoday.in/latest/economy/story/hormuz-closure-chokes-oil-flows-saudi-giant-aramco-begins-cutting-output-at-two-oilfields-519754-2026-03-09,Negative
"Closing women's workforce gap may be key to India's sustained economic growth, says Axis Bank study",https://www.businesstoday.in/latest/economy/story/closing-womens-workforce-gap-may-be-key-to-indias-sustained-economic-growth-says-axis-bank-study-519749-2026-03-09,Positive
"West Asia conflict: Supply, price disruptions impact several commodities beyond crude oil",https://www.businesstoday.in/latest/economy/story/west-asia-conflict-supply-price-disruptions-impact-several-commodities-beyond-crude-oil-519742-2026-03-09,Negative
20% of global oil at risk as Hormuz blockade halts ships; crude surges 36% in a week of Iran-Israel conflict,https://www.businesstoday.in/latest/economy/story/20-of-global-oil-at-risk-as-hormuz-blockade-halts-ships-crude-surges-36-in-a-week-of-iran-israel-conflict-519557-2026-03-07,Negative
"West Asia conflict may hit India hard; oil spike could raise inflation, slow GDP: SBI Research",https://www.businesstoday.in/latest/economy/story/west-asia-conflict-may-hit-india-hard-oil-spike-could-raise-inflation-slow-gdp-sbi-research-519555-2026-03-07,Negative
"West Asia conflict may hurt Indian economy; oil, rice, gems among 15 sectors at risk, warns expert",https://www.businesstoday.in/latest/economy/story/west-asia-conflict-may-hurt-indian-economy-oil-rice-gems-among-15-sectors-at-risk-warns-expert-519553-2026-03-07,Neutral
'No shortage of energy in India and there is no cause of worry for our energy consumers...': Hardeep Singh Puri amid US-Israel-Iran conflict,https://www.businesstoday.in/latest/economy/story/no-shortage-of-energy-in-india-and-there-is-no-cause-of-worry-for-our-energy-consumers-hardeep-singh-puri-amid-us-israel-iran-conflict-519529-2026-03-06,Neutral
India’s growth outlook firm as global volatility rises from West Asia conflict: FinMin,https://www.businesstoday.in/latest/economy/story/indias-growth-outlook-firm-as-global-volatility-rises-finance-ministry-519526-2026-03-06,Negative
West Asia tensions threaten LNG flows to India as Hormuz chokepoint risk intensifies - what's at stake,https://www.businesstoday.in/latest/economy/story/west-asia-tensions-threaten-lng-flows-to-india-as-hormuz-chokepoint-risk-intensifies-whats-at-stake-519504-2026-03-06,Neutral
"Dubai gold trade hit as Iran-Israel-US conflict delays shipments; bullion sold at $30 discount, says report",https://www.businesstoday.in/latest/economy/story/dubai-gold-trade-hit-as-iran-conflict-delays-shipments-bullion-sold-at-30-discount-says-report-519522-2026-03-06,Neutral
"West Asia crisis: Falling rupee, rising crude oil prices could change Budget math",https://www.businesstoday.in/latest/economy/story/west-asia-crisis-falling-rupee-rising-crude-oil-prices-could-change-budget-math-519499-2026-03-06,Negative
Iran war: India instructs oil refiners to maximise LPG output due to supply disruptions from West Asia,https://www.businesstoday.in/latest/economy/story/iran-war-india-instructs-oil-refiners-to-maximise-lpg-output-due-to-supply-disruptions-from-west-asia-519471-2026-03-06,Negative
"US-Israel-Iran: West Asia conflict disrupts fertiliser supplies, threatens availability ahead of kharif sowing",https://www.businesstoday.in/latest/economy/story/us-israel-iran-west-asia-conflict-disrupts-fertiliser-supplies-threatens-availability-ahead-of-kharif-sowing-519445-2026-03-06,Neutral
Russian oil cargoes heading to other destinations pivot towards India: Report,https://www.businesstoday.in/latest/economy/story/russian-oil-cargoes-heading-to-other-destinations-pivot-towards-india-report-519392-2026-03-06,Negative
"No discounts: Russian crude oil back on tap for India, but at a higher price",https://www.businesstoday.in/latest/economy/story/no-discounts-russian-crude-oil-back-on-tap-for-india-but-at-a-higher-price-519381-2026-03-06,Negative
"No plans for petrol or diesel rationing, sufficient fuel stocks available: Government sources",https://www.businesstoday.in/latest/economy/story/no-plans-for-petrol-or-diesel-rationing-sufficient-fuel-stocks-available-government-sources-519299-2026-03-05,Positive
"Amid Qatar disruption, Australia and Canada offer gas supplies to India",https://www.businesstoday.in/latest/economy/story/amid-qatar-disruption-australia-and-canada-offer-gas-supplies-to-india-519269-2026-03-05,Neutral
"Middle East tensions may hit airlines, basmati exports and fertiliser supply chains: Crisil",https://www.businesstoday.in/latest/economy/story/middle-east-tensions-may-hit-airlines-basmati-exports-and-fertiliser-supply-chains-crisil-519205-2026-03-05,Neutral
German avionics to power digital brain of India’s electric air taxi,https://www.businesstoday.in/latest/economy/story/german-avionics-to-power-digital-brain-of-indias-electric-air-taxi-519199-2026-03-05,Neutral
"US may raise universal import tariff to 15% this week, says Treasury Secretary Scott Bessent",https://www.businesstoday.in/latest/economy/story/us-may-raise-universal-import-tariff-to-15-this-week-says-treasury-secretary-scott-bessent-519122-2026-03-04,Neutral
Kerala to become Keralam: How much does it cost a state to change its name?,https://www.businesstoday.in/latest/economy/story/kerala-to-become-keralam-how-much-does-it-cost-a-state-to-change-its-name-519072-2026-03-04,Positive
"'Situation highly fluid, too early to assess economic impact': IMF after Iran shuts Hormuz",https://www.businesstoday.in/latest/economy/story/situation-highly-fluid-too-early-to-assess-economic-impact-imf-after-iran-shuts-hormuz-519054-2026-03-03,Positive
"Strait of Hormuz closed: For India, exim trade, oil imports remain a key worry",https://www.businesstoday.in/latest/economy/story/strait-of-hormuz-closed-for-india-exim-trade-oil-imports-remain-a-key-worry-519045-2026-03-03,Negative
Oil and gas fields take 15 years to come online now: Report,https://www.businesstoday.in/latest/economy/story/oil-and-gas-fields-take-15-years-to-come-online-now-report-519030-2026-03-03,Neutral
Hormuz risk may push India toward Russian oil again,https://www.businesstoday.in/latest/economy/story/hormuz-risk-may-push-india-toward-russian-oil-again-519028-2026-03-03,Neutral
"400,000 tons stuck in transit: Iran conflict disrupts India's basmati exports",https://www.businesstoday.in/latest/economy/story/400000-tons-stuck-in-transit-iran-conflict-disrupts-indias-basmati-exports-519001-2026-03-03,Neutral
90% oil imports expose India to West Asia shocks: Vedanta chairman on what must change in energy policy,https://www.businesstoday.in/latest/economy/story/90-of-our-oil-is-imported-vedanta-chairman-warns-india-is-vulnerable-to-west-asia-shock-518965-2026-03-03,Neutral
"India, Canada launch CEPA talks in New Delhi, target $50 billion trade by 2030",https://www.businesstoday.in/latest/economy/story/india-canada-launch-cepa-talks-in-new-delhi-target-50-billion-trade-by-2030-518891-2026-03-02,Positive
"US-Israel-Iran war: Exporters flag rising costs, delay in shipments",https://www.businesstoday.in/latest/economy/story/us-israel-iran-war-exporters-flag-rising-costs-delay-in-shipments-518881-2026-03-02,Neutral
"What attrition at 16.2%, lowest in 5 years, signals for India Inc in 2026",https://www.businesstoday.in/latest/economy/story/lowest-in-five-years-what-162-attrition-really-signals-for-2026-518813-2026-03-02,Neutral
India reviews trade risks as West Asia conflict disrupts supply chains,https://www.businesstoday.in/latest/economy/story/india-reviews-trade-risks-as-west-asia-conflict-disrupts-supply-chains-518744-2026-03-02,Neutral
"West Asia tensions raise risks for trade, oil prices, Indian markets",https://www.businesstoday.in/latest/economy/story/west-asia-tensions-raise-risks-for-trade-oil-prices-indian-markets-518724-2026-03-02,Neutral
US-Israel-Iran war: UBS flags front-end oil spike as 20% global supply chokepoint threatened,https://www.businesstoday.in/latest/economy/story/us-israel-iran-war-ubs-flags-front-end-oil-spike-as-20-global-supply-chokepoint-threatened-518664-2026-03-01,Neutral
"GST mop-up hits Rs 1.83 lakh crore in February, imports power gains",https://www.businesstoday.in/latest/economy/story/gst-mop-up-hits-rs-183-lakh-crore-in-february-imports-power-gains-518661-2026-03-01,Neutral
Indian exporters fear freight surge as US-Israel strike on Iran disrupts Red Sea routes,https://www.businesstoday.in/latest/economy/story/indian-exporters-fear-freight-surge-as-us-israel-strike-on-iran-disrupts-red-sea-routes-518614-2026-02-28,Neutral
"BT Best Banks @30: Nitin Gadkari honours winners, ICICI Bank named Bank of the Year as sector discusses AI, structural shifts",https://www.businesstoday.in/latest/economy/story/bt-best-banks-30-nitin-gadkari-honours-winners-icici-bank-named-bank-of-the-year-as-sector-discusses-ai-structural-shifts-518603-2026-02-28,Positive
